transaction_id,bank_id,bank_name,customer_id,amount,timestamp,merchant_category,location
1,101,Equity Bank,C0027,7788.38,2025-02-04 01:50:18,Utilities,East Kaylamouth
2,101,Equity Bank,C0334,24448.65,2025-02-04 21:23:27,Food,Jamesport
3,101,Equity Bank,C0277,45088.86,2025-02-04 00:35:07,Food,East Kennethstad
4,101,Equity Bank,C0027,34739.46,2025-02-04 13:58:24,Education,Annetteside
5,101,Equity Bank,C0200,15546.31,2025-02-04 12:24:31,Food,Hicksborough
6,101,Equity Bank,C0345,12030.57,2025-02-04 15:12:44,Retail,Alexandraton
7,101,Equity Bank,C0387,38504.29,2025-02-04 18:11:59,Education,Maryfort
8,101,Equity Bank,C0385,7250.76,2025-02-04 08:17:52,Transport,Ryanshire
9,101,Equity Bank,C0190,25273.19,2025-02-04 17:42:37,Food,East Robertville
10,101,Equity Bank,C0190,42988.74,2025-02-04 01:16:18,Transport,Port Samanthaland
11,101,Equity Bank,C0247,13034.58,2025-02-04 17:52:00,Utilities,Marshchester
12,101,Equity Bank,C0103,22741.58,2025-02-04 20:16:27,Education,Snyderbury
13,101,Equity Bank,C0042,42869.4,2025-02-04 14:52:51,Retail,Lake Scottview
14,101,Equity Bank,C0195,41004.89,2025-02-04 23:00:15,Utilities,Jayborough
15,101,Equity Bank,C0472,23329.37,2025-02-04 02:29:42,Health,Calebbury
16,101,Equity Bank,C0265,5323.6,2025-02-04 17:39:34,Retail,Port Josephmouth
17,101,Equity Bank,C0325,8505.49,2025-02-04 11:17:45,Retail,New Katie
18,102,KCB Bank,C0341,6920.76,2025-02-04 10:16:32,Retail,Martinport
19,102,KCB Bank,C0309,14023.86,2025-02-04 01:52:17,Retail,South Samantha
20,102,KCB Bank,C0443,15070.42,2025-02-04 00:13:18,Education,West Timothyside
21,102,KCB Bank,C0397,18589.73,2025-02-04 16:38:05,Health,East Michaelborough
22,102,KCB Bank,C0408,1518.16,2025-02-04 02:02:00,Transport,Butlertown
23,102,KCB Bank,C0313,10839.2,2025-02-04 02:52:26,Utilities,Jamesport
24,102,KCB Bank,C0171,22838.01,2025-02-04 13:36:00,Education,East Anitaberg
25,102,KCB Bank,C0268,22390.04,2025-02-04 19:31:08,Education,West Kristen
26,102,KCB Bank,C0137,12909.87,2025-02-04 17:38:27,Transport,Danielsborough
27,102,KCB Bank,C0095,954.31,2025-02-04 14:12:05,Transport,Vargastown
